y_prob,y_true
0.12121052,0
0.13104102,0
0.86615187,0
0.08765169,0
0.10894021,0
0.13681048,0
0.7563272,0
0.7943145,0
0.24002223,0
0.114857905,0
0.05373545,0
0.3566722,0
0.574768,0
0.42509472,0
0.14232357,0
0.31002754,0
0.25664482,0
0.8592162,0
0.2180232,0
0.38680926,0
0.58831555,0
0.20729713,0
0.8087418,0
0.28714833,0
0.5309409,0
0.6889453,0
0.100528665,0
0.82695246,0
0.117327474,0
0.2167471,0
0.21467401,0
0.3889252,0
0.12963417,0
0.32112652,0
0.064756215,0
0.24456735,0
0.23203637,0
0.82445747,0
0.7273042,0
0.04909992,0
0.6521818,0
0.7356857,0
0.8669331,0
0.29292887,0
0.9338837,0
0.4358181,0
0.5755571,0
0.339854,0
0.51631445,0
0.088936284,0
0.16519669,0
0.2389637,0
0.11308785,0
0.20218381,0
0.10393837,0
0.2103416,0
0.19955085,0
0.040438306,0
0.37267613,0
0.24815561,0
0.49595377,0
0.31621137,0
0.21914162,0
0.28185445,0
0.10319808,0
0.354273,0
0.23245367,0
0.12113994,0
0.88694286,0
0.11892584,0
0.31058118,0
0.2944374,0
0.43185994,0
0.57012004,0
0.93374187,0
0.107657984,0
0.45999902,0
0.18958832,0
0.52633816,0
0.80316293,0
0.21521768,0
0.22455819,0
0.3930187,0
0.41481036,0
0.21807458,0
0.44231692,0
0.14253475,0
0.09159366,0
0.18477677,0
0.9776984,0
0.13626263,0
0.12119904,0
0.20442623,0
0.8791843,0
0.088845626,0
0.24413799,0
0.12562907,0
0.22751723,0
0.9069544,0
0.45401686,0
0.3119134,0
0.16194345,0
0.14722833,0
0.07899104,0
0.89378446,0
0.23112178,0
0.48957065,0
0.24362475,0
0.1283254,0
0.23932281,0
0.09009082,0
0.18128781,0
0.28953332,0
0.17879602,0
0.6731193,0
0.11866185,0
0.12924041,0
0.46280175,0
0.31271052,0
0.10718451,0
0.3825244,0
0.17791763,0
0.303777,0
0.31793827,0
0.67491347,0
0.65330905,0
0.10517633,0
0.1696255,0
0.4481284,0
0.34100175,0
0.23438817,0
0.13526073,0
0.13319123,0
0.2124887,0
0.22791232,0
0.9472463,0
0.54011106,0
0.36144745,0
0.3828815,0
0.23780067,0
0.11522547,0
0.40273282,0
0.39762998,0
0.17967018,0
0.40367815,0
0.16794214,0
0.12007086,0
0.43083894,0
0.47900757,0
0.536472,0
0.4729387,0
0.51056135,0
0.28983402,0
0.08087774,0
0.55714506,0
0.6199442,0
0.2574091,0
0.20973067,0
0.097212665,0
0.5071899,0
0.22109996,0
0.42205888,0
0.18078686,0
0.55779594,0
0.19179682,0
0.660155,0
0.44905782,0
0.39439383,0
0.18734701,0
0.77112824,0
0.43361992,0
0.17584248,0
0.86604977,0
0.22199155,0
0.7502736,0
0.11011755,0
0.16040581,0
0.67219704,0
0.929089,0
0.92911357,0
0.1303515,0
0.33340645,0
0.15039796,0
0.57242733,0
0.12471481,0
0.065043464,0
0.20206147,0
0.1506351,0
0.3620961,0
0.16595204,0
0.23574151,0
0.2035399,0
0.14619474,0
0.3691586,0
0.45687446,0
0.3532152,0
0.21408471,0
0.33799267,0
0.65655166,0
0.20222981,0
0.3860588,0
0.20682797,0
0.38432577,0
0.9421861,0
0.87518877,0
0.3150081,0
0.10825991,0
0.29914027,0
0.27028376,0
0.69171673,0
0.12821569,0
0.20386933,0
0.07144588,0
0.22039986,0
0.34115294,0
0.90750337,1
0.73628366,1
0.9954448,1
0.8761895,1
0.99999845,1
0.37572744,1
0.32716867,1
0.16612093,1
0.214041,1
0.9991917,1
0.1465501,1
0.18870452,1
0.999938,1
0.9917691,1
0.901932,1
0.24850504,1
0.96971446,1
0.53838754,1
0.2503518,1
0.99847156,1
0.6681065,1
0.99985194,1
0.18697183,1
0.98947036,1
0.19526933,1
0.3088811,1
0.65308046,1
0.29973176,1
0.27910554,1
0.99060285,1
0.37968618,1
0.7067168,1
0.86096007,1
0.99222356,1
0.33387163,1
0.4127615,1
0.53315187,1
0.4646457,1
0.15547183,1
0.26035103,1
0.9998412,1
0.9989446,1
0.9939889,1
0.7687073,1
0.926651,1
0.24790135,1
0.68174815,1
0.65644675,1
0.8961603,1
0.8853888,1
0.1409288,1
0.99229276,1
0.71789014,1
0.16039401,1
0.9500005,1
0.97198063,1
0.12500498,1
0.48261845,1
0.8763001,1
0.99244577,1
0.45378524,1
0.54878265,1
0.9829785,1
0.42458862,1
0.99830556,1
0.8620031,1
0.9995065,1
0.7778759,1
0.9809873,1
0.6283974,1
0.9271434,1
0.8721281,1
0.34116036,1
0.10473403,1
0.93730146,1
0.98819387,1
0.4492786,1
0.30772847,1
0.942662,1
0.9740713,1
0.38690904,1
